user_id,cnt
2,1
5,1
10,1
13,1
19,1
65,1
118,1
133,1
168,1
187,1
198,1
236,1
239,1
256,1
257,1
276,1
328,1
356,1
364,1
401,1
437,1
440,1
448,1
453,1
507,1
633,1
636,1
849,1
857,1
865,1
879,1
880,1
898,1
902,1
926,1
933,1
940,1
951,1
963,1
964,1
966,1
972,1
975,1
984,1
1006,1
1009,1
1011,1
1013,1
1016,1
1026,1
1039,1
1041,1
1047,1
1048,1
1055,1
1056,1
1058,1
1060,1
1063,1
1074,1
1081,1
1082,1
1107,1
1109,1
1175,1
1188,1
1205,1
1208,1
1211,1
1213,1
1214,1
1227,1
1234,1
1246,1
1253,1
1267,1
1270,1
1275,1
1359,1
1362,1
1363,1
1364,1
1370,1
1382,1
1385,1
1404,1
1406,1
1408,1
1409,1
1414,1
1439,1
1440,1
1449,1
1455,1
1460,1
1462,1
1465,1
1467,1
1468,1
1473,1
1479,1
1484,1
1495,1
1497,1
1522,1
1523,1
1526,1
1536,1
1542,1
1546,1
1548,1
20,2
110,2
144,2
160,2
199,2
222,2
227,2
273,2
284,2
338,2
372,2
587,2
597,2
627,2
629,2
639,2
687,2
732,2
779,2
845,2
876,2
921,2
927,2
935,2
937,2
945,2
990,2
1003,2
1008,2
1031,2
1053,2
1361,2
1403,2
1456,2
1470,2
1527,2
181,3
185,3
347,3
816,3
875,3
882,3
992,3
1052,3
1271,3
1368,3
1389,3
1422,3
1425,3
1531,3
138,4
197,4
683,4
867,4
870,4
910,4
944,4
1033,4
1046,4
1442,4
1528,4
919,5
1480,5
955,6
932,9
1443,9
1444,13
74,14
1417,17
435,27
1235,40
1050,52
233,61
1510,61
1323,65
551,67
668,68
1537,68
1272,78
827,108
993,118
1197,136
1390,210
1457,283
