session_id,cnt
1,1
2,1
7,1
116,1
117,1
184,1
233,1
245,1
285,1
407,1
421,1
425,1
431,1
435,1
438,1
439,1
447,1
455,1
460,1
469,1
470,1
475,1
672,1
681,1
701,1
729,1
885,1
887,1
895,1
1016,1
1163,1
1168,1
1172,1
1179,1
1180,1
1189,1
1190,1
1208,1
1211,1
1213,1
1214,1
1218,1
1321,1
1470,1
1559,1
1581,1
1583,1
1616,1
1623,1
1646,1
1653,1
1654,1
1895,1
1902,1
1904,1
1911,1
1914,1
1925,1
1932,1
1941,1
1946,1
1959,1
1966,1
1971,1
1977,1
2041,1
2048,1
2049,1
2050,1
2051,1
2078,1
2084,1
2107,1
2153,1
2173,1
2174,1
2175,1
2176,1
2177,1
2178,1
2195,1
2217,1
2228,1
2245,1
2276,1
2300,1
2305,1
2308,1
2324,1
2330,1
2351,1
2357,1
2413,1
2415,1
2442,1
2465,1
2470,1
2472,1
2474,1
2477,1
2537,1
2553,1
2592,1
2857,1
2874,1
2875,1
2876,1
2910,1
2922,1
2948,1
2950,1
2956,1
2967,1
2969,1
2972,1
2981,1
2983,1
2987,1
2998,1
3010,1
3013,1
3019,1
3022,1
3045,1
3047,1
3049,1
3052,1
3056,1
3059,1
3064,1
3065,1
3067,1
3069,1
3070,1
3071,1
3084,1
3141,1
3149,1
3156,1
3157,1
3159,1
3163,1
3187,1
3213,1
3225,1
3292,1
3298,1
3310,1
3339,1
3347,1
3414,1
3415,1
3416,1
3421,1
3422,1
3437,1
3441,1
3445,1
3451,1
3452,1
3453,1
3455,1
3456,1
3459,1
3463,1
3465,1
3466,1
3470,1
3473,1
3475,1
3480,1
3485,1
3486,1
3488,1
3493,1
3498,1
3501,1
3502,1
3503,1
3505,1
3514,1
3517,1
3521,1
3534,1
3543,1
3546,1
3554,1
3559,1
3563,1
3566,1
3567,1
3570,1
3616,1
3617,1
3619,1
3623,1
3639,1
3649,1
3661,1
3662,1
3663,1
3683,1
3684,1
3693,1
3696,1
3699,1
3737,1
3751,1
3754,1
3760,1
3764,1
3768,1
3771,1
3776,1
3780,1
3786,1
3787,1
3788,1
3790,1
3791,1
3794,1
3798,1
3800,1
3801,1
3805,1
3808,1
3810,1
3815,1
3820,1
3821,1
3823,1
3827,1
3832,1
3835,1
3836,1
3837,1
3839,1
3848,1
3851,1
3852,1
3856,1
3869,1
3874,1
3879,1
3882,1
3901,1
3906,1
3926,1
3938,1
3961,1
3974,1
3975,1
3983,1
3985,1
3989,1
4015,1
4023,1
4024,1
4027,1
4028,1
4033,1
4049,1
4066,1
4068,1
4095,1
4099,1
4143,1
4151,1
4168,1
4259,1
4270,1
4274,1
4276,1
4277,1
4279,1
4280,1
4293,1
4294,1
4299,1
229,2
350,2
351,2
369,2
371,2
372,2
426,2
430,2
461,2
466,2
471,2
478,2
484,2
487,2
524,2
525,2
680,2
693,2
896,2
1165,2
1166,2
1173,2
1174,2
1178,2
1187,2
1192,2
1200,2
1212,2
1468,2
1471,2
1484,2
1565,2
1582,2
1595,2
1603,2
1605,2
1614,2
1624,2
1721,2
1874,2
1875,2
1886,2
1891,2
1893,2
1901,2
1926,2
1931,2
1952,2
1965,2
1985,2
2032,2
2047,2
2083,2
2138,2
2154,2
2169,2
2223,2
2225,2
2233,2
2238,2
2259,2
2260,2
2266,2
2274,2
2278,2
2280,2
2288,2
2299,2
2306,2
2311,2
2316,2
2319,2
2320,2
2325,2
2329,2
2331,2
2348,2
2380,2
2381,2
2383,2
2397,2
2398,2
2414,2
2459,2
2480,2
2484,2
2843,2
2864,2
2890,2
2901,2
2904,2
2928,2
2942,2
2944,2
2949,2
2951,2
2952,2
2955,2
2957,2
2962,2
2965,2
2968,2
2970,2
2971,2
2973,2
2980,2
2982,2
2984,2
2988,2
2995,2
3028,2
3058,2
3060,2
3062,2
3082,2
3100,2
3142,2
3145,2
3147,2
3184,2
3190,2
3200,2
3206,2
3216,2
3291,2
3295,2
3300,2
3302,2
3304,2
3321,2
3323,2
3330,2
3333,2
3443,2
3447,2
3450,2
3457,2
3469,2
3471,2
3474,2
3479,2
3482,2
3487,2
3495,2
3504,2
3512,2
3518,2
3519,2
3522,2
3528,2
3529,2
3533,2
3535,2
3549,2
3569,2
3574,2
3575,2
3579,2
3581,2
3582,2
3588,2
3605,2
3613,2
3637,2
3640,2
3641,2
3695,2
3700,2
3709,2
3738,2
3761,2
3774,2
3782,2
3785,2
3792,2
3804,2
3806,2
3809,2
3814,2
3817,2
3822,2
3829,2
3838,2
3845,2
3853,2
3854,2
3855,2
3857,2
3868,2
3877,2
3878,2
3895,2
3898,2
3919,2
3920,2
3928,2
3929,2
3952,2
3971,2
3972,2
3973,2
3976,2
3977,2
3978,2
3994,2
4030,2
4034,2
4046,2
4051,2
4064,2
4069,2
